BW, SF, SNR, PS, BER
20800,11,-20,110,0.0000004
20800,11,-20,220,0.0000004
20800,11,-20,330,0.0018184
20800,11,-20,440,0.0000004
20800,11,-20,550,0.0000004
20800,11,-20,660,0.0000004
20800,11,-20,770,0.0000004
20800,11,-20,880,0.0005684
20800,11,-20,990,0.0013134
20800,11,-20,1100,0.0000004
20800,11,-10,110,0.0000004
20800,11,-10,220,0.0000004
20800,11,-10,330,0.0000004
20800,11,-10,440,0.0000004
20800,11,-10,550,0.0000004
20800,11,-10,660,0.0000004
20800,11,-10,770,0.0000004
20800,11,-10,880,0.0000004
20800,11,-10,990,0.0000004
20800,11,-10,1100,0.0000004
20800,11,0,110,0.0000004
20800,11,0,220,0.0000004
20800,11,0,330,0.0000004
20800,11,0,440,0.0000004
20800,11,0,550,0.0000004
20800,11,0,660,0.0000004
20800,11,0,770,0.0000004
20800,11,0,880,0.0000004
20800,11,0,990,0.0000004
20800,11,0,1100,0.0000004
20800,12,-40,120,0.0566674
20800,12,-40,240,0.0437504
20800,12,-40,360,0.0469444
20800,12,-40,480,0.0525004
20800,12,-40,600,0.0476674
20800,12,-40,720,0.0504174
20800,12,-40,840,0.0478574
20800,12,-40,960,0.0473964
20800,12,-40,1080,0.0483334
20800,12,-40,1200,0.0495004
20800,12,-30,120,0.0400004
20800,12,-30,240,0.0508334
20800,12,-30,360,0.0397224
20800,12,-30,480,0.0452084
20800,12,-30,600,0.0456674
20800,12,-30,720,0.0391674
20800,12,-30,840,0.0391674
20800,12,-30,960,0.0442714
20800,12,-30,1080,0.0437964
20800,12,-30,1200,0.0412504
20800,12,-20,120,0.0000004
20800,12,-20,240,0.0000004
20800,12,-20,360,0.0000004
20800,12,-20,480,0.0000004
20800,12,-20,600,0.0000004
20800,12,-20,720,0.0000004
